Province	Satisfied	Unsatisfied	Percent	Satisfied_Percentage
Western Cape 	1147	882	0,565303105	57
Eastern Cape 	1485	983	0,601701783	60
Northern Cape 	512	356	0,589861751	59
Free State 	817	451	0,644321767	64
KwaZulu-Natal 	1707	1679	0,504134672	50
North West 	288	296	0,493150685	49
Gauteng 	2518	1958	0,562555853	56
Ermelo	1009	764	0,569091935	57
Limpopo 	1451	778	0,650964558	65
