2018,57.398
2017,56.717
2016,56.015
2015,55.291
2010,51.584
2005,48.820
2000,45.728
1995,42.088
1990,37.560
1985,33.730
1980,29.760
1975,26.212
1970,22.839
1965,19.942
1960,17.456
1955,15.376
